134,2648,4780,46.5,4366,10277,2651,888,24,2,t,m_makarios,2017-06-07 15:08:38.598972,2017-06-07 15:08:38.598972,steam
135,3305,7162,48.8,5024,14678,3036,1410,24,1,t,mmendesc,2017-06-07 15:08:40.306674,2017-06-07 15:08:40.306674,steam
136,1167,3473,50.1,2158,6934,983,855,18,4,t,GuiConti,2017-06-07 15:16:02.483963,2017-06-07 15:16:02.483963,steam
137,3499,10339,49.2,4785,21025,3175,1236,7,9,t,lamebananayep,2017-06-08 15:01:19.264704,2017-06-08 15:01:19.264704,steam
138,1279,3507,50.9,1434,6889,1388,513,7,11,t,Kultor,2017-06-08 15:01:22.583165,2017-06-08 15:01:22.583165,ps
139,562,1283,56.1,582,2286,582,209,24,6,t,Vinci279,2017-06-08 15:01:26.034551,2017-06-08 15:01:26.034551,ps
140,3310,7177,48.8,5029,14704,3043,1415,25,1,t,mmendesc,2017-06-08 15:01:31.879449,2017-06-08 15:01:31.879449,steam
141,1167,3473,50.1,2158,6934,983,855,19,4,t,GuiConti,2017-06-08 15:01:36.995642,2017-06-08 15:01:36.995642,steam
142,2652,4794,46.6,4369,10297,2651,888,25,2,t,m_makarios,2017-06-08 15:01:39.117134,2017-06-08 15:01:39.117134,steam
143,3499,10339,49.2,4785,21025,3175,1236,8,9,t,lamebananayep,2017-06-09 15:00:58.185052,2017-06-09 15:00:58.185052,steam
144,1280,3513,50.9,1438,6898,1389,514,8,11,t,Kultor,2017-06-09 15:01:07.871602,2017-06-09 15:01:07.871602,ps
145,567,1293,56.1,588,2305,590,212,25,6,t,Vinci279,2017-06-09 15:01:10.813782,2017-06-09 15:01:10.813782,ps
146,3315,7182,48.8,5034,14727,3052,1416,26,1,t,mmendesc,2017-06-09 15:01:21.451329,2017-06-09 15:01:21.451329,steam
147,1170,3481,50.1,2161,6952,983,855,20,4,t,GuiConti,2017-06-09 15:01:30.718728,2017-06-09 15:01:30.718728,steam
148,2657,4807,46.5,4383,10329,2654,892,26,2,t,m_makarios,2017-06-09 15:01:39.084425,2017-06-09 15:01:39.084425,steam
149,3509,10378,49.2,4809,21104,3190,1241,9,9,t,lamebananayep,2017-06-10 15:01:20.889178,2017-06-10 15:01:20.889178,steam
150,1286,3532,50.9,1452,6939,1396,516,9,11,t,Kultor,2017-06-10 15:01:29.38902,2017-06-10 15:01:29.38902,ps
