194,Ranked Solo Standard 3v3,Gold I,Division I,581,~17,~1,24,6,17,,Vinci279,2017-06-02 15:00:39.357559,2017-06-02 15:00:39.357559
195,Ranked Standard 3v3,Silver III,Division IV,584,~20,~1,43,6,17,,Vinci279,2017-06-02 15:00:39.364795,2017-06-02 15:00:39.364795
196,Ranked Doubles 2v2,Gold III,Division IV,808,~6,~15,205,1,18,,mmendesc,2017-06-02 15:00:41.721826,2017-06-02 15:00:41.721826
197,Ranked Standard 3v3,Platinum III,Division I,955,~6,~15,317,1,18,,mmendesc,2017-06-02 15:00:41.728946,2017-06-02 15:00:41.728946
198,Ranked Doubles 2v2,Platinum II,Division II,898,~14,~7,187,2,18,,m_makarios,2017-06-02 15:00:44.105349,2017-06-02 15:00:44.105349
199,Ranked Standard 3v3,Platinum III,Division IV,1010,~9,~7,327,2,18,,m_makarios,2017-06-02 15:00:44.110987,2017-06-02 15:00:44.110987
200,Ranked Duel 1v1,Gold III,Division III,756,~19,~2,14,2,18,,m_makarios,2017-06-02 15:00:44.11745,2017-06-02 15:00:44.11745
201,Ranked Duel 1v1,Diamond I,Division II,1001,~17,~3,51,9,1,,lamebananayep,2017-06-03 15:00:49.477257,2017-06-03 15:00:49.477257
202,Ranked Doubles 2v2,Platinum II,Division II,895,~17,~4,879,9,1,,lamebananayep,2017-06-03 15:00:49.497587,2017-06-03 15:00:49.497587
203,Ranked Standard 3v3,Gold III,Division IV,814,,~21,159,9,1,,lamebananayep,2017-06-03 15:00:49.514773,2017-06-03 15:00:49.514773
204,Ranked Doubles 2v2,Silver III,Division I,532,~9,~12,385,11,1,,Kultor,2017-06-03 15:00:50.167895,2017-06-03 15:00:50.167895
205,Ranked Duel 1v1,Gold I,Division III,630,,,1,6,18,,Vinci279,2017-06-03 15:00:50.966781,2017-06-03 15:00:50.966781
206,Ranked Doubles 2v2,Gold I,Division III,637,~16,~5,119,6,18,,Vinci279,2017-06-03 15:00:50.980648,2017-06-03 15:00:50.980648
207,Ranked Solo Standard 3v3,Gold I,Division I,581,~17,~1,24,6,18,,Vinci279,2017-06-03 15:00:50.992599,2017-06-03 15:00:50.992599
208,Ranked Standard 3v3,Silver III,Division IV,584,~20,~1,43,6,18,,Vinci279,2017-06-03 15:00:51.008676,2017-06-03 15:00:51.008676
209,Ranked Doubles 2v2,Platinum II,Division II,898,~14,~7,187,2,19,,m_makarios,2017-06-03 15:00:53.042201,2017-06-03 15:00:53.042201
210,Ranked Standard 3v3,Platinum III,Division IV,1010,~9,~7,327,2,19,,m_makarios,2017-06-03 15:00:53.054973,2017-06-03 15:00:53.054973
211,Ranked Duel 1v1,Gold III,Division III,756,~19,~2,14,2,19,,m_makarios,2017-06-03 15:00:53.064531,2017-06-03 15:00:53.064531
212,Ranked Doubles 2v2,Gold III,Division IV,808,~6,~15,205,1,19,,mmendesc,2017-06-03 15:00:58.481366,2017-06-03 15:00:58.481366
213,Ranked Standard 3v3,Platinum III,Division I,955,~6,~15,317,1,19,,mmendesc,2017-06-03 15:00:58.497409,2017-06-03 15:00:58.497409
220,Ranked Duel 1v1,Diamond I,Division II,1001,~17,~3,51,9,2,,lamebananayep,2017-06-04 16:42:05.961299,2017-06-04 16:42:05.961299
221,Ranked Doubles 2v2,Platinum II,Division II,894,~18,~3,883,9,2,,lamebananayep,2017-06-04 16:42:05.967198,2017-06-04 16:42:05.967198
222,Ranked Standard 3v3,Platinum I,Division I,802,~19,~2,164,9,2,,lamebananayep,2017-06-04 16:42:05.972986,2017-06-04 16:42:05.972986
223,Ranked Doubles 2v2,Silver III,Division III,571,~12,~9,393,11,2,,Kultor,2017-06-04 16:42:07.5921,2017-06-04 16:42:07.5921
224,Ranked Duel 1v1,Gold I,Division III,630,,,1,6,19,,Vinci279,2017-06-04 16:42:09.279529,2017-06-04 16:42:09.279529
225,Ranked Doubles 2v2,Gold I,Division III,637,~16,~5,119,6,19,,Vinci279,2017-06-04 16:42:09.285092,2017-06-04 16:42:09.285092
226,Ranked Solo Standard 3v3,Gold I,Division I,581,~17,~1,24,6,19,,Vinci279,2017-06-04 16:42:09.291321,2017-06-04 16:42:09.291321
227,Ranked Standard 3v3,Silver III,Division IV,584,~20,~1,43,6,19,,Vinci279,2017-06-04 16:42:09.297268,2017-06-04 16:42:09.297268
228,Ranked Doubles 2v2,Platinum II,Division II,898,~14,~7,187,2,20,,m_makarios,2017-06-04 16:42:10.836022,2017-06-04 16:42:10.836022
229,Ranked Standard 3v3,Platinum III,Division IV,1010,~9,~7,327,2,20,,m_makarios,2017-06-04 16:42:10.843606,2017-06-04 16:42:10.843606
230,Ranked Duel 1v1,Gold III,Division III,756,~19,~2,14,2,20,,m_makarios,2017-06-04 16:42:10.848861,2017-06-04 16:42:10.848861
